forest forest##forest.Horizontal_Distance_To_Roadways,=,1865.0,forest.Elevation,>,3088.0,forest.Hillshade_9am,<,173.0#3
forest forest##forest.Horizontal_Distance_To_Hydrology,<,417.0,forest.Hillshade_Noon,>,243.0#61729
forest forest##forest.Hillshade_3pm,>,193.0,forest.Slope,<,65.0,forest.Vertical_Distance_To_Hydrology,=,290.0#19
forest forest##forest.Hillshade_Noon,>,120.0,forest.Hillshade_3pm,>,105.0,forest.Horizontal_Distance_To_Fire_Points,>,2439.0,forest.Aspect,<,1.0#1773
forest forest##forest.Hillshade_Noon,=,201.0,forest.Hillshade_9am,>,126.0#4281
forest forest##forest.Horizontal_Distance_To_Fire_Points,>,534.0,forest.Hillshade_9am,>,218.0,forest.Vertical_Distance_To_Hydrology,=,348.0#2
forest forest##forest.Hillshade_3pm,>,84.0,forest.Hillshade_9am,=,163.0,forest.Aspect,>,9.0,forest.Hillshade_Noon,<,156.0#17
forest forest##forest.Hillshade_9am,<,79.0#228
forest forest##forest.Hillshade_Noon,<,121.0,forest.Elevation,>,3090.0,forest.Hillshade_3pm,<,191.0,forest.Horizontal_Distance_To_Roadways,<,3917.0#56
forest forest##forest.Aspect,=,217.0,forest.Horizontal_Distance_To_Hydrology,>,735.0#60
forest forest##forest.Hillshade_3pm,<,232.0,forest.Elevation,<,2867.0,forest.Horizontal_Distance_To_Roadways,>,3939.0,forest.Hillshade_Noon,<,253.0#2708
forest forest##forest.Aspect,<,218.0,forest.Elevation,<,2785.0#93728
forest forest##forest.Hillshade_Noon,>,167.0,forest.Horizontal_Distance_To_Roadways,<,3142.0,forest.Elevation,=,3375.0,forest.Hillshade_9am,<,154.0#5
forest forest##forest.Slope,=,11.0,forest.Hillshade_3pm,>,57.0,forest.Hillshade_9am,<,244.0,forest.Horizontal_Distance_To_Hydrology,>,900.0,forest.Vertical_Distance_To_Hydrology,<,262.0,forest.Aspect,=,312.0#1
forest forest##forest.Hillshade_Noon,=,234.0,forest.Hillshade_9am,>,141.0#12866
forest forest##forest.Aspect,=,99.0#2240
forest forest##forest.Elevation,=,3085.0,forest.Hillshade_3pm,>,67.0,forest.Vertical_Distance_To_Hydrology,<,112.0,forest.Horizontal_Distance_To_Hydrology,>,569.0#32
forest forest##forest.Horizontal_Distance_To_Hydrology,>,916.0#6626
forest forest##forest.Hillshade_9am,<,119.0#3594
forest forest##forest.Hillshade_Noon,=,98.0,forest.Horizontal_Distance_To_Fire_Points,<,5277.0,forest.Hillshade_9am,<,131.0,forest.Hillshade_3pm,>,32.0#3
forest forest##forest.Horizontal_Distance_To_Roadways,>,3221.0#154203
forest forest##forest.Slope,<,43.0,forest.Hillshade_3pm,<,66.0,forest.Horizontal_Distance_To_Roadways,=,3018.0#1
forest forest##forest.Hillshade_9am,<,188.0,forest.Slope,<,58.0,forest.Horizontal_Distance_To_Roadways,<,2568.0,forest.Vertical_Distance_To_Hydrology,>,416.0#162
forest forest##forest.Hillshade_9am,<,231.0,forest.Horizontal_Distance_To_Hydrology,<,866.0,forest.Hillshade_Noon,=,119.0#12
forest forest##forest.Hillshade_Noon,<,242.0#477383
forest forest##forest.Hillshade_Noon,=,168.0,forest.Horizontal_Distance_To_Fire_Points,<,4416.0,forest.Horizontal_Distance_To_Hydrology,>,1036.0,forest.Aspect,<,221.0,forest.Elevation,>,2633.0,forest.Vertical_Distance_To_Hydrology,>,-116.0,forest.Hillshade_9am,>,183.0,forest.Horizontal_Distance_To_Roadways,>,960.0,forest.Slope,<,33.0#1
forest forest##forest.Horizontal_Distance_To_Hydrology,<,443.0,forest.Hillshade_9am,>,166.0,forest.Slope,<,27.0,forest.Aspect,>,257.0,forest.Vertical_Distance_To_Hydrology,>,-79.0#90228
forest forest##forest.Hillshade_3pm,<,195.0#531662
forest forest##forest.Elevation,>,1918.0,forest.Horizontal_Distance_To_Fire_Points,<,2616.0#445272
